Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
0,0.0,0.0,0,0,4.0
0,0.0,0.0,1.4,5,9.0
0,0.0,0.0,6,10,14.0
0,0.0,0.0,10.6,15,19.0
0,0.0,0.0,13.2,20,24.0
0,0.0,0.0,13.9,25,29.0
0,0.0,0.0,13.9,30,34.0
0,0.0,0.0,13.8,35,39.0
0,0.0,0.0,13.3,40,44.0
0,0.0,0.0,12.7,45,49.0
0,0.0,0.0,12,50,54.0
0,0.0,0.0,11.2,55,59.0
0,0.0,0.0,10.6,60,64.0
0,0.0,0.0,10.2,65,69.0
0,0.0,0.0,9.5,70,74.0
0,0.0,0.0,8.5,75,79.0
0,0.0,0.0,7.8,80,84.0
0,0.0,0.0,7.1,85,
15,151.0,15101.0,0,0,4.0
15,151.0,15101.0,1.5,5,9.0
15,151.0,15101.0,6.1,10,14.0
15,151.0,15101.0,10.7,15,19.0
15,151.0,15101.0,13.1,20,24.0
15,151.0,15101.0,13.5,25,29.0
15,151.0,15101.0,13.6,30,34.0
15,151.0,15101.0,13.5,35,39.0
15,151.0,15101.0,13.2,40,44.0
15,151.0,15101.0,12.8,45,49.0
15,151.0,15101.0,12.4,50,54.0
15,151.0,15101.0,11.8,55,59.0
15,151.0,15101.0,11.3,60,64.0
15,151.0,15101.0,10.7,65,69.0
15,151.0,15101.0,10,70,74.0
15,151.0,15101.0,8.8,75,79.0
15,151.0,15101.0,8.1,80,84.0
15,151.0,15101.0,7.1,85,
15,151.0,15102.0,0,0,4.0
15,151.0,15102.0,2.1,5,9.0
15,151.0,15102.0,6.7,10,14.0
15,151.0,15102.0,10.6,15,19.0
15,151.0,15102.0,12.5,20,24.0
15,151.0,15102.0,12.4,25,29.0
15,151.0,15102.0,12,30,34.0
15,151.0,15102.0,12.5,35,39.0
15,151.0,15102.0,12,40,44.0
15,151.0,15102.0,10.5,45,49.0
15,151.0,15102.0,10.7,50,54.0
15,151.0,15102.0,10.7,55,59.0
15,151.0,15102.0,10.2,60,64.0
15,151.0,15102.0,9,65,69.0
15,151.0,15102.0,6.7,70,74.0
15,151.0,15102.0,6.8,75,79.0
15,151.0,15102.0,5.3,80,84.0
15,151.0,15102.0,5,85,
15,152.0,15201.0,0,0,4.0
15,152.0,15201.0,1.7,5,9.0
15,152.0,15201.0,6.1,10,14.0
15,152.0,15201.0,11.1,15,19.0
15,152.0,15201.0,12.2,20,24.0
15,152.0,15201.0,13.5,25,29.0
15,152.0,15201.0,13.3,30,34.0
15,152.0,15201.0,12.2,35,39.0
15,152.0,15201.0,12.2,40,44.0
15,152.0,15201.0,11.3,45,49.0
15,152.0,15201.0,9.5,50,54.0
15,152.0,15201.0,9.2,55,59.0
15,152.0,15201.0,9.2,60,64.0
15,152.0,15201.0,7.2,65,69.0
15,152.0,15201.0,6.3,70,74.0
15,152.0,15201.0,6.1,75,79.0
15,152.0,15201.0,3.6,80,84.0
15,152.0,15201.0,2.4,85,
15,152.0,15202.0,0,0,4.0
15,152.0,15202.0,1.5,5,9.0
15,152.0,15202.0,6,10,14.0
15,152.0,15202.0,9.9,15,19.0
15,152.0,15202.0,11.1,20,24.0
15,152.0,15202.0,10.6,25,29.0
15,152.0,15202.0,11.2,30,34.0
15,152.0,15202.0,10.4,35,39.0
15,152.0,15202.0,9.1,40,44.0
15,152.0,15202.0,8.7,45,49.0
15,152.0,15202.0,8.3,50,54.0
15,152.0,15202.0,6.2,55,59.0
15,152.0,15202.0,6,60,64.0
15,152.0,15202.0,3.3,65,69.0
15,152.0,15202.0,3.1,70,74.0
15,152.0,15202.0,2,75,79.0
15,152.0,15202.0,0.6,80,84.0
15,152.0,15202.0,0.6,85,
1,11.0,1101.0,0,0,4.0
1,11.0,1101.0,1.4,5,9.0
1,11.0,1101.0,6,10,14.0
1,11.0,1101.0,10.5,15,19.0
1,11.0,1101.0,13,20,24.0
1,11.0,1101.0,13.8,25,29.0
1,11.0,1101.0,14,30,34.0
1,11.0,1101.0,14,35,39.0
1,11.0,1101.0,13.8,40,44.0
1,11.0,1101.0,13.4,45,49.0
1,11.0,1101.0,13,50,54.0
1,11.0,1101.0,12.5,55,59.0
1,11.0,1101.0,11.8,60,64.0
1,11.0,1101.0,11.5,65,69.0
1,11.0,1101.0,11.1,70,74.0
1,11.0,1101.0,10.1,75,79.0
1,11.0,1101.0,9.4,80,84.0
1,11.0,1101.0,8.5,85,
1,11.0,1107.0,0,0,4.0
1,11.0,1107.0,1.5,5,9.0
1,11.0,1107.0,5.9,10,14.0
1,11.0,1107.0,10.4,15,19.0
1,11.0,1107.0,12.3,20,24.0
1,11.0,1107.0,12.5,25,29.0
1,11.0,1107.0,12.4,30,34.0
1,11.0,1107.0,12.1,35,39.0
1,11.0,1107.0,11.6,40,44.0
1,11.0,1107.0,11.2,45,49.0
1,11.0,1107.0,10.8,50,54.0
1,11.0,1107.0,10.3,55,59.0
1,11.0,1107.0,9.7,60,64.0
1,11.0,1107.0,9.2,65,69.0
1,11.0,1107.0,8.3,70,74.0
1,11.0,1107.0,7.4,75,79.0
1,11.0,1107.0,6.6,80,84.0
1,11.0,1107.0,6.3,85,
1,14.0,1401.0,0,0,4.0
1,14.0,1401.0,1.5,5,9.0
1,14.0,1401.0,6.2,10,14.0
1,14.0,1401.0,10.7,15,19.0
1,14.0,1401.0,12.5,20,24.0
1,14.0,1401.0,12.5,25,29.0
1,14.0,1401.0,12.3,30,34.0
1,14.0,1401.0,12.3,35,39.0
1,14.0,1401.0,11.8,40,44.0
1,14.0,1401.0,11.2,45,49.0
1,14.0,1401.0,10.9,50,54.0
1,14.0,1401.0,10.3,55,59.0
1,14.0,1401.0,10,60,64.0
1,14.0,1401.0,9.3,65,69.0
1,14.0,1401.0,8.6,70,74.0
