Código región,Código provincia,Código comuna,Población censada,Hombres,Mujeres,edad_min,edad_max
0,0.0,0.0,870693.0,443028.0,427665.0,0,4.0
0,0.0,0.0,1147515.0,584218.0,563297.0,5,9.0
0,0.0,0.0,1256440.0,641284.0,615156.0,10,14.0
0,0.0,0.0,1219347.0,625986.0,593361.0,15,19.0
0,0.0,0.0,1273193.0,646831.0,626362.0,20,24.0
0,0.0,0.0,1383669.0,693829.0,689840.0,25,29.0
0,0.0,0.0,1527489.0,758913.0,768576.0,30,34.0
0,0.0,0.0,1408198.0,692292.0,715906.0,35,39.0
0,0.0,0.0,1270493.0,615866.0,654627.0,40,44.0
0,0.0,0.0,1151776.0,549508.0,602268.0,45,49.0
0,0.0,0.0,1173352.0,556491.0,616861.0,50,54.0
0,0.0,0.0,1133239.0,530699.0,602540.0,55,59.0
0,0.0,0.0,1077790.0,501042.0,576748.0,60,64.0
0,0.0,0.0,870801.0,403425.0,467376.0,65,69.0
0,0.0,0.0,646241.0,292622.0,353619.0,70,74.0
0,0.0,0.0,477186.0,208574.0,268612.0,75,79.0
0,0.0,0.0,317424.0,129155.0,188269.0,80,84.0
0,0.0,0.0,275586.0,93270.0,182316.0,85,
15,151.0,15101.0,12671.0,6321.0,6350.0,0,4.0
15,151.0,15101.0,16246.0,8264.0,7982.0,5,9.0
15,151.0,15101.0,18634.0,9543.0,9091.0,10,14.0
15,151.0,15101.0,17062.0,8705.0,8357.0,15,19.0
15,151.0,15101.0,17872.0,9194.0,8678.0,20,24.0
15,151.0,15101.0,19202.0,9839.0,9363.0,25,29.0
15,151.0,15101.0,19568.0,9999.0,9569.0,30,34.0
15,151.0,15101.0,18784.0,9526.0,9258.0,35,39.0
15,151.0,15101.0,16548.0,8029.0,8519.0,40,44.0
15,151.0,15101.0,14675.0,7152.0,7523.0,45,49.0
15,151.0,15101.0,15123.0,7218.0,7905.0,50,54.0
15,151.0,15101.0,12589.0,5844.0,6745.0,55,59.0
15,151.0,15101.0,12043.0,5461.0,6582.0,60,64.0
15,151.0,15101.0,10067.0,4858.0,5209.0,65,69.0
15,151.0,15101.0,7850.0,3599.0,4251.0,70,74.0
15,151.0,15101.0,5890.0,2642.0,3248.0,75,79.0
15,151.0,15101.0,3785.0,1596.0,2189.0,80,84.0
15,151.0,15101.0,3044.0,1054.0,1990.0,85,
15,151.0,15102.0,26.0,17.0,9.0,0,4.0
15,151.0,15102.0,37.0,14.0,23.0,5,9.0
15,151.0,15102.0,43.0,23.0,20.0,10,14.0
15,151.0,15102.0,46.0,22.0,24.0,15,19.0
15,151.0,15102.0,35.0,17.0,18.0,20,24.0
15,151.0,15102.0,33.0,22.0,11.0,25,29.0
15,151.0,15102.0,43.0,20.0,23.0,30,34.0
15,151.0,15102.0,46.0,23.0,23.0,35,39.0
15,151.0,15102.0,50.0,24.0,26.0,40,44.0
15,151.0,15102.0,57.0,33.0,24.0,45,49.0
15,151.0,15102.0,72.0,36.0,36.0,50,54.0
15,151.0,15102.0,61.0,27.0,34.0,55,59.0
15,151.0,15102.0,84.0,41.0,43.0,60,64.0
15,151.0,15102.0,69.0,32.0,37.0,65,69.0
15,151.0,15102.0,57.0,28.0,29.0,70,74.0
15,151.0,15102.0,66.0,32.0,34.0,75,79.0
15,151.0,15102.0,19.0,12.0,7.0,80,84.0
15,151.0,15102.0,17.0,7.0,10.0,85,
15,152.0,15201.0,78.0,42.0,36.0,0,4.0
15,152.0,15201.0,84.0,44.0,40.0,5,9.0
15,152.0,15201.0,88.0,48.0,40.0,10,14.0
15,152.0,15201.0,166.0,106.0,60.0,15,19.0
15,152.0,15201.0,132.0,78.0,54.0,20,24.0
15,152.0,15201.0,113.0,57.0,56.0,25,29.0
15,152.0,15201.0,101.0,55.0,46.0,30,34.0
15,152.0,15201.0,95.0,51.0,44.0,35,39.0
15,152.0,15201.0,82.0,42.0,40.0,40,44.0
15,152.0,15201.0,82.0,50.0,32.0,45,49.0
15,152.0,15201.0,101.0,53.0,48.0,50,54.0
15,152.0,15201.0,94.0,56.0,38.0,55,59.0
15,152.0,15201.0,75.0,34.0,41.0,60,64.0
15,152.0,15201.0,82.0,43.0,39.0,65,69.0
15,152.0,15201.0,71.0,41.0,30.0,70,74.0
15,152.0,15201.0,41.0,17.0,24.0,75,79.0
15,152.0,15201.0,40.0,18.0,22.0,80,84.0
15,152.0,15201.0,22.0,11.0,11.0,85,
15,152.0,15202.0,44.0,25.0,19.0,0,4.0
15,152.0,15202.0,47.0,21.0,26.0,5,9.0
15,152.0,15202.0,32.0,14.0,18.0,10,14.0
15,152.0,15202.0,20.0,11.0,9.0,15,19.0
15,152.0,15202.0,20.0,11.0,9.0,20,24.0
15,152.0,15202.0,31.0,17.0,14.0,25,29.0
15,152.0,15202.0,27.0,16.0,11.0,30,34.0
15,152.0,15202.0,21.0,9.0,12.0,35,39.0
15,152.0,15202.0,20.0,13.0,7.0,40,44.0
15,152.0,15202.0,28.0,13.0,15.0,45,49.0
15,152.0,15202.0,29.0,13.0,16.0,50,54.0
15,152.0,15202.0,32.0,14.0,18.0,55,59.0
15,152.0,15202.0,41.0,25.0,16.0,60,64.0
15,152.0,15202.0,36.0,15.0,21.0,65,69.0
