Código región,Código provincia,Código comuna,Grupos de edad,Años de escolaridad promedio
0,0.0,0.0,0 a 4,0
0,0.0,0.0,5 a 9,1.4
0,0.0,0.0,10 a 14,6
0,0.0,0.0,15 a 19,10.6
0,0.0,0.0,20 a 24,13.2
0,0.0,0.0,25 a 29,13.9
0,0.0,0.0,30 a 34,13.9
0,0.0,0.0,35 a 39,13.8
0,0.0,0.0,40 a 44,13.3
0,0.0,0.0,45 a 49,12.7
0,0.0,0.0,50 a 54,12
0,0.0,0.0,55 a 59,11.2
0,0.0,0.0,60 a 64,10.6
0,0.0,0.0,65 a 69,10.2
0,0.0,0.0,70 a 74,9.5
0,0.0,0.0,75 a 79,8.5
0,0.0,0.0,80 a 84,7.8
0,0.0,0.0,85 o más,7.1
15,151.0,15101.0,0 a 4,0
15,151.0,15101.0,5 a 9,1.5
15,151.0,15101.0,10 a 14,6.1
15,151.0,15101.0,15 a 19,10.7
15,151.0,15101.0,20 a 24,13.1
15,151.0,15101.0,25 a 29,13.5
15,151.0,15101.0,30 a 34,13.6
15,151.0,15101.0,35 a 39,13.5
15,151.0,15101.0,40 a 44,13.2
15,151.0,15101.0,45 a 49,12.8
15,151.0,15101.0,50 a 54,12.4
15,151.0,15101.0,55 a 59,11.8
15,151.0,15101.0,60 a 64,11.3
15,151.0,15101.0,65 a 69,10.7
15,151.0,15101.0,70 a 74,10
15,151.0,15101.0,75 a 79,8.8
15,151.0,15101.0,80 a 84,8.1
15,151.0,15101.0,85 o más,7.1
15,151.0,15102.0,0 a 4,0
15,151.0,15102.0,5 a 9,2.1
15,151.0,15102.0,10 a 14,6.7
15,151.0,15102.0,15 a 19,10.6
15,151.0,15102.0,20 a 24,12.5
15,151.0,15102.0,25 a 29,12.4
15,151.0,15102.0,30 a 34,12
15,151.0,15102.0,35 a 39,12.5
15,151.0,15102.0,40 a 44,12
15,151.0,15102.0,45 a 49,10.5
15,151.0,15102.0,50 a 54,10.7
15,151.0,15102.0,55 a 59,10.7
15,151.0,15102.0,60 a 64,10.2
15,151.0,15102.0,65 a 69,9
15,151.0,15102.0,70 a 74,6.7
15,151.0,15102.0,75 a 79,6.8
15,151.0,15102.0,80 a 84,5.3
15,151.0,15102.0,85 o más,5
15,152.0,15201.0,0 a 4,0
15,152.0,15201.0,5 a 9,1.7
15,152.0,15201.0,10 a 14,6.1
15,152.0,15201.0,15 a 19,11.1
