Código región,Código provincia,Código comuna,Total de mujeres de 15 años o más,Mujeres con hijos o hijas,Mujeres sin hijos o hijas,Mujeres con fecundidad ignorada
0,0.0,0.0,7907281.0,5572976.0,2289599.0,44706.0
15,151.0,15101.0,99386.0,71250.0,27381.0,755.0
15,151.0,15102.0,379.0,296.0,82.0,1.0
15,152.0,15201.0,585.0,405.0,176.0,4.0
15,152.0,15202.0,184.0,161.0,23.0,0.0
1,11.0,1101.0,82678.0,58215.0,23741.0,722.0
1,11.0,1107.0,53676.0,39038.0,14302.0,336.0
1,14.0,1401.0,6168.0,4634.0,1498.0,36.0
1,14.0,1402.0,527.0,407.0,120.0,0.0
1,14.0,1403.0,298.0,237.0,61.0,0.0
1,14.0,1404.0,1040.0,831.0,202.0,7.0
1,14.0,1405.0,2460.0,1886.0,566.0,8.0
2,21.0,2101.0,166055.0,114796.0,50092.0,1167.0
2,21.0,2102.0,5427.0,4020.0,1384.0,23.0
2,21.0,2103.0,597.0,440.0,150.0,7.0
2,21.0,2104.0,4858.0,3698.0,1140.0,20.0
2,22.0,2201.0,67020.0,48824.0,17661.0,535.0
2,22.0,2202.0,108.0,81.0,27.0,0.0
2,22.0,2203.0,4068.0,2783.0,1238.0,47.0
2,23.0,2301.0,10219.0,7944.0,2236.0,39.0
2,23.0,2302.0,1901.0,1484.0,411.0,6.0
3,31.0,3101.0,68896.0,49762.0,18689.0,445.0
3,31.0,3102.0,7657.0,5768.0,1833.0,56.0
3,31.0,3103.0,4608.0,3451.0,1145.0,12.0
3,32.0,3201.0,4923.0,3825.0,1073.0,25.0
3,32.0,3202.0,4534.0,3492.0,1010.0,32.0
3,33.0,3301.0,22561.0,17285.0,5151.0,125.0
3,33.0,3302.0,1941.0,1547.0,391.0,3.0
3,33.0,3303.0,3108.0,2414.0,680.0,14.0
3,33.0,3304.0,3856.0,2983.0,843.0,30.0
4,41.0,4101.0,107211.0,74590.0,31917.0,704.0
4,41.0,4102.0,110825.0,80364.0,29924.0,537.0
4,41.0,4103.0,4756.0,3677.0,1073.0,6.0
4,41.0,4104.0,1674.0,1312.0,352.0,10.0
4,41.0,4105.0,1971.0,1521.0,442.0,8.0
4,41.0,4106.0,11851.0,9026.0,2762.0,63.0
4,42.0,4201.0,13630.0,10468.0,3123.0,39.0
4,42.0,4202.0,4073.0,3195.0,866.0,12.0
4,42.0,4203.0,9461.0,7307.0,2129.0,25.0
4,42.0,4204.0,11532.0,8901.0,2588.0,43.0
4,43.0,4301.0,50424.0,37567.0,12518.0,339.0
4,43.0,4302.0,5701.0,4534.0,1153.0,14.0
4,43.0,4303.0,12589.0,9889.0,2687.0,13.0
4,43.0,4304.0,5023.0,3908.0,1106.0,9.0
4,43.0,4305.0,1862.0,1448.0,414.0,0.0
5,51.0,5101.0,124951.0,84822.0,39224.0,905.0
5,51.0,5102.0,12661.0,9204.0,3342.0,115.0
5,51.0,5103.0,21259.0,14380.0,6698.0,181.0
5,51.0,5104.0,348.0,266.0,79.0,3.0
5,51.0,5105.0,9467.0,7208.0,2200.0,59.0
5,51.0,5107.0,14962.0,11136.0,3718.0,108.0
5,51.0,5109.0,151898.0,100139.0,50825.0,934.0
5,52.0,5201.0,1939.0,1297.0,558.0,84.0
5,53.0,5301.0,27181.0,20297.0,6755.0,129.0
5,53.0,5302.0,6763.0,5147.0,1595.0,21.0
5,53.0,5303.0,4818.0,3660.0,1149.0,9.0
5,53.0,5304.0,8397.0,6361.0,2014.0,22.0
5,54.0,5401.0,16741.0,12654.0,4033.0,54.0
5,54.0,5402.0,8385.0,6379.0,1997.0,9.0
5,54.0,5403.0,3139.0,2369.0,763.0,7.0
5,54.0,5404.0,4344.0,3323.0,1013.0,8.0
5,54.0,5405.0,3315.0,2546.0,750.0,19.0
5,55.0,5501.0,41801.0,30403.0,11166.0,232.0
5,55.0,5502.0,21663.0,16046.0,5501.0,116.0
5,55.0,5503.0,7934.0,6058.0,1859.0,17.0
5,55.0,5504.0,10485.0,7684.0,2768.0,33.0
5,55.0,5506.0,9388.0,7156.0,2163.0,69.0
5,56.0,5601.0,41037.0,30611.0,10198.0,228.0
5,56.0,5602.0,7217.0,5454.0,1673.0,90.0
5,56.0,5603.0,10454.0,8064.0,2302.0,88.0
5,56.0,5604.0,8450.0,6462.0,1909.0,79.0
5,56.0,5605.0,7131.0,5632.0,1448.0,51.0
5,56.0,5606.0,5551.0,4183.0,1322.0,46.0
5,57.0,5701.0,34137.0,24927.0,9064.0,146.0
5,57.0,5702.0,5813.0,4502.0,1293.0,18.0
5,57.0,5703.0,10559.0,8119.0,2420.0,20.0
5,57.0,5704.0,3079.0,2287.0,775.0,17.0
5,57.0,5705.0,7292.0,5593.0,1679.0,20.0
5,57.0,5706.0,6470.0,4908.0,1547.0,15.0
5,58.0,5801.0,72894.0,50933.0,21432.0,529.0
5,58.0,5802.0,23813.0,17428.0,6210.0,175.0
5,58.0,5803.0,8474.0,6322.0,2098.0,54.0
5,58.0,5804.0,61944.0,43956.0,17711.0,277.0
13,131.0,13101.0,188005.0,98367.0,88417.0,1221.0
13,131.0,13102.0,36194.0,25650.0,10016.0,528.0
13,131.0,13103.0,53841.0,39425.0,13966.0,450.0
13,131.0,13104.0,52581.0,37991.0,14334.0,256.0
13,131.0,13105.0,66130.0,48318.0,17430.0,382.0
13,131.0,13106.0,77073.0,51107.0,25208.0,758.0
13,131.0,13107.0,42776.0,29886.0,12622.0,268.0
13,131.0,13108.0,50000.0,33309.0,16386.0,305.0
13,131.0,13109.0,45641.0,30249.0,14915.0,477.0
13,131.0,13110.0,167545.0,114357.0,52089.0,1099.0
13,131.0,13111.0,48067.0,35034.0,12717.0,316.0
13,131.0,13112.0,72627.0,53593.0,18532.0,502.0
13,131.0,13113.0,40436.0,27189.0,12927.0,320.0
13,131.0,13114.0,137631.0,81575.0,54666.0,1390.0
13,131.0,13115.0,47887.0,30904.0,16107.0,876.0
13,131.0,13116.0,36693.0,27277.0,9220.0,196.0
13,131.0,13117.0,39992.0,29220.0,10547.0,225.0
13,131.0,13118.0,56483.0,36257.0,19778.0,448.0
13,131.0,13119.0,223042.0,156927.0,64862.0,1253.0
13,131.0,13120.0,114611.0,62330.0,51326.0,955.0
13,131.0,13121.0,41531.0,30146.0,11107.0,278.0
13,131.0,13122.0,102480.0,72171.0,29619.0,690.0
13,131.0,13123.0,68169.0,34068.0,33802.0,299.0
13,131.0,13124.0,97958.0,70608.0,26683.0,667.0
13,131.0,13125.0,86838.0,61403.0,24966.0,469.0
13,131.0,13126.0,55438.0,38406.0,16528.0,504.0
13,131.0,13127.0,66088.0,46099.0,19397.0,592.0
13,131.0,13128.0,60041.0,44346.0,15357.0,338.0
13,131.0,13129.0,42292.0,29562.0,12500.0,230.0
13,131.0,13130.0,68125.0,41108.0,26385.0,632.0
13,131.0,13131.0,32529.0,23921.0,8401.0,207.0
13,131.0,13132.0,39073.0,25269.0,13380.0,424.0
13,132.0,13201.0,243298.0,174204.0,67689.0,1405.0
13,132.0,13202.0,12015.0,8623.0,3285.0,107.0
13,132.0,13203.0,7340.0,5369.0,1929.0,42.0
13,133.0,13301.0,66183.0,47277.0,18319.0,587.0
13,133.0,13302.0,55791.0,40371.0,15056.0,364.0
13,133.0,13303.0,7908.0,5908.0,1984.0,16.0
13,134.0,13401.0,127798.0,91445.0,35510.0,843.0
13,134.0,13402.0,48070.0,34492.0,13257.0,321.0
13,134.0,13403.0,10638.0,7736.0,2836.0,66.0
13,134.0,13404.0,32435.0,23525.0,8677.0,233.0
13,135.0,13501.0,56643.0,41729.0,14579.0,335.0
13,135.0,13502.0,3122.0,2400.0,712.0,10.0
13,135.0,13503.0,14729.0,10825.0,3830.0,74.0
13,135.0,13504.0,6337.0,4781.0,1538.0,18.0
13,135.0,13505.0,4358.0,3313.0,1029.0,16.0
13,136.0,13601.0,31827.0,23153.0,8463.0,211.0
13,136.0,13602.0,15478.0,11474.0,3934.0,70.0
13,136.0,13603.0,16195.0,11989.0,4146.0,60.0
13,136.0,13604.0,32978.0,23835.0,8947.0,196.0
13,136.0,13605.0,40039.0,28928.0,10883.0,228.0
6,61.0,6101.0,110164.0,78640.0,30945.0,579.0
6,61.0,6102.0,5796.0,4355.0,1429.0,12.0
6,61.0,6103.0,3363.0,2518.0,831.0,14.0
6,61.0,6104.0,8827.0,6706.0,2103.0,18.0
6,61.0,6105.0,9179.0,6968.0,2173.0,38.0
6,61.0,6106.0,14834.0,10937.0,3801.0,96.0
6,61.0,6107.0,11241.0,8673.0,2545.0,23.0
6,61.0,6108.0,25103.0,18289.0,6667.0,147.0
6,61.0,6109.0,5777.0,4442.0,1332.0,3.0
6,61.0,6110.0,11334.0,8538.0,2773.0,23.0
6,61.0,6111.0,5792.0,4308.0,1479.0,5.0
6,61.0,6112.0,5945.0,4509.0,1431.0,5.0
6,61.0,6113.0,8522.0,6623.0,1878.0,21.0
6,61.0,6114.0,5766.0,4380.0,1382.0,4.0
6,61.0,6115.0,26708.0,19838.0,6787.0,83.0
6,61.0,6116.0,12175.0,9182.0,2968.0,25.0
6,61.0,6117.0,21155.0,16077.0,5020.0,58.0
6,62.0,6201.0,8343.0,6165.0,2112.0,66.0
6,62.0,6202.0,1901.0,1481.0,419.0,1.0
6,62.0,6203.0,3657.0,2851.0,800.0,6.0
6,62.0,6204.0,3703.0,2813.0,885.0,5.0
6,62.0,6205.0,3671.0,2776.0,889.0,6.0
6,62.0,6206.0,3022.0,2353.0,667.0,2.0
6,63.0,6301.0,32376.0,23952.0,8245.0,179.0
