Periodo,Comuna,Cantidad_40%,Cantidad_41-50%,Cantidad_51-60%,Cantidad_61-70,Cantidad_71-80%,Cantidad_81-90%,Cantidad_91-100%,Totales_por_comuna
202308,1101,76653,12457,12836,12530,15521,29046,13110,172153
202308,1107,70091,9124,8694,7585,9161,13130,5463,123248
202308,1401,8421,1176,1143,1183,1382,1961,903,16169
202308,1402,1015,111,59,31,62,67,38,1383
202308,1405,3652,567,570,465,534,763,327,6878
202308,2101,128792,24960,25762,25111,32263,68864,30666,336418
202308,1403,939,105,50,55,37,164,66,1416
202308,1404,2077,257,208,120,171,235,90,3158
202308,2102,6178,1059,1058,1108,1470,2250,1115,14238
202308,2201,57881,10242,10336,10260,14537,31804,15131,150191
202308,2103,728,139,129,131,173,258,209,1767
202308,2104,6343,992,929,796,1067,1609,786,12522
202308,2301,14352,1918,1573,1590,1952,3349,1786,26520
202308,2302,1560,307,309,342,539,1030,457,4544
202308,2203,5132,878,688,741,884,1507,683,10513
202308,2202,97,10,5,27,30,44,26,241
202308,3101,75638,10543,10085,9631,13414,26087,12032,157430
202308,3102,11693,1555,1449,1282,1658,2477,1300,21414
202308,3103,8208,1019,971,835,1141,1985,824,14983
202308,3201,7026,1142,970,836,1107,1765,779,13625
202308,3302,3349,411,389,289,287,381,182,5288
202308,3303,4282,787,629,555,574,744,341,7912
202308,3202,4429,862,962,911,1460,2566,1065,12255
202308,3301,28400,3843,3804,3579,4647,7556,3532,55361
202308,3304,5945,925,775,770,971,1500,839,11725
202308,4101,99940,17318,15394,14568,17182,33915,12142,210459
202308,4102,126361,19354,17517,15919,18398,29921,11235,238705
202308,4103,6677,998,900,682,898,1740,669,12564
202308,4104,3706,550,345,262,310,453,188,5814
202308,4106,18523,2424,2103,1694,2000,2480,843,30067
202308,4105,3605,436,410,308,331,363,147,5600
202308,4201,17475,2802,2698,2204,2772,4072,1796,33819
202308,4202,6753,798,582,553,617,834,300,10437
202308,4203,14884,2493,1453,1303,1447,2221,820,24621
202308,4204,15367,2502,2346,2064,2515,4039,1967,30800
202308,4301,65772,9939,8917,7379,8948,11612,4590,117157
202308,4303,21112,2577,2346,1832,2063,2298,874,33102
202308,4302,9252,1106,892,809,774,1024,366,14223
202308,4304,7989,931,734,667,756,993,438,12508
202308,4305,3139,430,311,226,212,375,171,4864
202308,5101,154377,23234,22358,20051,23054,32875,12281,288230
202308,5109,140562,25807,25194,22988,24930,41077,15151,295709
202308,5105,13385,2042,1692,1353,1575,2536,820,23403
202308,5107,20749,2848,2376,2014,2410,3617,1323,35337
202308,5102,14990,2421,2254,2137,2377,3502,1057,28738
202308,5103,16169,2696,2749,2683,3153,7276,2863,37589
202308,5104,496,52,94,82,137,140,58,1059
202308,5601,50743,8792,7646,6277,7570,9952,3598,94578
202308,5502,31153,4003,3853,3270,4127,5778,2171,54355
202308,5504,9955,1627,1551,1491,1972,3975,1613,22184
202308,5506,11602,2044,1854,1474,1939,2865,1055,22833
202308,5606,4815,1132,1056,848,980,2032,792,11655
202308,5701,42023,6094,5273,5082,5758,8658,3328,76216
202308,5602,8761,1481,1211,1237,1049,2364,679,16782
202308,5603,17506,2260,1659,1390,1361,1584,503,26263
202308,5605,12553,1754,1377,1124,1099,1630,580,20117
202308,5304,9389,1548,1480,1223,1472,2527,842,18481
202308,5201,3242,618,621,617,829,1114,450,7491
202308,5301,26753,4950,4830,4659,5340,9364,3524,59420
202308,5302,7890,1389,1212,1095,1537,2238,848,16209
202308,5501,48573,7626,6911,6433,7293,10741,3801,91378
202308,5401,23492,3762,2816,2489,2566,3535,1351,40011
202308,5402,11772,1815,1545,1276,1417,2062,857,20744
202308,5404,6554,929,788,570,729,910,379,10859
202308,5503,11594,1694,1546,1220,1340,1643,528,19565
202308,5303,5947,820,719,634,685,1309,384,10498
202308,5403,3839,789,553,463,484,716,172,7016
202308,5405,4448,818,816,643,645,1143,366,8879
202308,5702,8436,1190,1077,936,1153,1563,570,14925
202308,5604,12830,1911,1504,1305,1240,1897,636,21323
202308,5802,29462,4341,4067,3353,3747,5804,1975,52749
202308,5803,11910,1596,1245,1187,1101,1827,624,19490
202308,5801,72901,12523,12217,11562,13729,22200,7926,153058
202308,6107,17408,2640,2052,1723,1892,2287,647,28649
202308,6108,17651,2765,2596,2911,3797,10825,4077,44622
